,wind
aspect_jupiter_saturn,0.07663562685122167
aspect_moon_mars,0.03308265740718493
aspect_sun_saturn,0.028430912501317098
aspect_mercury_saturn,0.02374033857211186
aspect_moon_jupiter,0.015221492844608843
aspect_sun_mercury,0.014607824885638982
aspect_venus_saturn,0.013318358486877797
aspect_mercury_mars,0.007700251985105391
aspect_mars_saturn,0.004657825139839266
aspect_moon_saturn,0.004186982254680797
aspect_sun_mars,0.0015339066485152003
aspect_moon_mercury,-0.0001696245564579531
aspect_sun_moon,-0.00020151281568606155
aspect_moon_venus,-0.002298839020260005
aspect_mercury_venus,-0.007633271382799595
aspect_mars_jupiter,-0.009821004834244512
aspect_sun_venus,-0.010909925495930228
aspect_mercury_jupiter,-0.016471035266027265
aspect_sun_jupiter,-0.01735050323814415
aspect_venus_mars,-0.025493799175744906
aspect_venus_jupiter,-0.03940730556839625
