,RandomForest,XGBoost,LightGBM,mean_importance
longitude,0.08055701966890957,0.0056648506,0.09029579657498703,0.058839222276353076
latitude,0.04386016495964414,0.0063930866,0.07576543850544888,0.04200623003198135
spline_end_lon,0.05622739956603058,0.009222046,0.03667185608026293,0.034040433729034376
dinamana_minutes,0.022615425499397275,0.0064087245,0.033039266562878394,0.020687805510159023
vedic_chandra_speed_deg_per_day,0.02729651396466417,0.005914826,0.027676872513405986,0.02029607080805425
spline_bearing_deg,0.021655108984938717,0.006529234,0.027849852966614772,0.018678065278539945
elevation,0.023136895421454348,0.008147878,0.022487458917142364,0.01792407732653964
ratrimana_minutes,0.025373200097473764,0.015663145,0.011070749005362394,0.01736903140428242
mars_ecliptic_lat_deg,0.02437560723118064,0.010695812,0.015395260335582079,0.016822226619719913
sun_dec_deg,0.033361533974239396,0.006444515,0.008822003113648157,0.01620935076087714
spline_end_lat,0.045575651029728464,0.0,0.0,0.015191883676576154
vedic_arun_speed_deg_per_day,0.012374238532939352,0.02990674,0.0015568240788790867,0.014612601007978164
vedic_budha_speed_deg_per_day,0.01436117347025748,0.008185745,0.019200830306175403,0.013915916331112985
mercury_ecliptic_lat_deg,0.013219102184463996,0.005517702,0.022487458917142364,0.013741421061880347
mercury_dec_deg,0.022809628856784846,0.00817708,0.008476042207230583,0.013154250418562427
venus_ecliptic_lat_deg,0.011665442377715794,0.0067668133,0.01989275211901055,0.012775002612751508
vedic_chandra_full_degree,0.013577043858965552,0.006097508,0.01850890849334025,0.012727820160346083
saturn_dec_deg,0.019229333187358526,0.011268189,0.007438159487977858,0.012645227284084487
neptune_ecliptic_lon_deg,0.015556514533488237,0.015615377,0.005708354955889984,0.01229341537773824
nearest_lat,0.01220170708738198,0.0067141065,0.015914201695208442,0.011610005106664031
vedic_budha_full_degree,0.014514519312280219,0.009434144,0.008994983566856945,0.01098121563058905
vedic_surya_declination,0.01051492678093409,0.017307485,0.004497491783428472,0.010773301028941485
vedic_varun_right_ascension,0.009346534498575497,0.01496521,0.007611139941186646,0.010640961516570418
moon_ecliptic_lat_deg,0.01182077781806945,0.0038152426,0.015914201695208442,0.010516740689423444
vedic_spashth_rahu_speed_deg_per_day,0.006834566849220919,0.004676472,0.01937381075938419,0.010294949846200772
vedic_guru_full_degree,0.00808585271396409,0.012567671,0.01003286628610967,0.01022879667197747
jupiter_ecliptic_lon_deg,0.011234158669803363,0.0125901345,0.005535374502681197,0.009786555896280979
day_of_year,0.009914693317329892,0.0118889455,0.007265179034769071,0.009689605942439882
vedic_rahu_full_degree,0.00775941151264055,0.012259451,0.0069192181283514965,0.008979360127368092
jupiter_dec_deg,0.008290848171358473,0.009357989,0.008822003113648157,0.008823613373129244
venus_dec_deg,0.007958155959772912,0.0068951505,0.010897768552153606,0.00858369167851976
spline_length_deg,0.006688752012570218,0.0016873968,0.017125064867669952,0.008500404554540623
saturn_ecliptic_lat_deg,0.006605753105385848,0.015450343,0.003286628610966961,0.008447574758225716
vedic_shukra_speed_deg_per_day,0.006262975170609374,0.011160683,0.007265179034769071,0.008229612364072452
nearest_lon,0.006218479249349037,0.010812573,0.007611139941186646,0.008214064108478273
vedic_shukra_declination,0.006784787240509409,0.011440653,0.006227296315516347,0.008150912303318424
vedic_budha_declination,0.007984484257261696,0.009097247,0.007265179034769071,0.008115636892173117
vedic_mangal_full_degree,0.008956600445001668,0.0061826035,0.009167964020065733,0.008102389334367915
neptune_ra_hours,0.0070115003045706755,0.011449952,0.005016433143054835,0.00782596170871333
moon_dec_deg,0.006414511063554205,0.002777134,0.014184397163120567,0.0077920140983283445
vedic_surya_full_degree,0.005008485581195444,0.011257938,0.006573257221933922,0.007613226970822551
vedic_mangal_padam,0.005131011526858212,0.0071127824,0.010551807645736032,0.007598533873708148
vedic_spashth_rahu_right_ascension,0.010517200899956614,0.0072077396,0.005016433143054835,0.007580457891862718
lahiri_ayanamsha,0.005850798358908844,0.016591555,0.0001729804532087874,0.007538444439910271
vedic_surya_speed_deg_per_day,0.00038918281219350355,0.021093093,0.0005189413596263622,0.0073337390102037395
vedic_guru_speed_deg_per_day,0.005445456960379479,0.010316957,0.006054315862307559,0.007272243203662835
vedic_spashth_rahu_full_degree,0.009631533758989213,0.0053602736,0.006573257221933922,0.00718835487508375
mercury_ecliptic_lon_deg,0.005668256114698088,0.008578517,0.0070921985815602835,0.007112990413056634
vedic_shani_declination,0.0005610786156140563,0.018201917,0.0024217263449230237,0.007061574123477976
moon_ra_hours,0.00582688147475182,0.0022546723,0.012800553537450268,0.006960702453567128
sun_ra_hours,0.00655229791465904,0.0056937193,0.008130081300813009,0.006792032824047111
vedic_mangal_declination,0.005124850900277878,0.009468896,0.005708354955889984,0.006767367390223208
vedic_shukra_full_degree,0.005043273916616727,0.009027738,0.006054315862307559,0.006708442634352148
vedic_arun_full_degree,0.0046827803154337565,0.010929626,0.004497491783428472,0.006703299503850638
venus_ecliptic_lon_deg,0.006307603980648533,0.0104464665,0.003286628610966961,0.006680233032380997
vedic_ketu_declination,0.001175213972385794,0.016027229,0.0027676872513405985,0.006656710043492358
vedic_chandra_right_ascension,0.005698170542733878,0.008452676,0.005708354955889984,0.006619733911751116
mars_dec_deg,0.007905482195815867,0.005647193,0.006054315862307559,0.006535663744310881
jupiter_ecliptic_lat_deg,0.006114888546311801,0.0068300017,0.006573257221933922,0.006506049161272137
