,count,unique,top,freq,mean,min,25%,50%,75%,max,std
storm_id,47533,944,freddy-2023,301,,,,,,,
storm_name,47533,782,Freddy,301,,,,,,,
storm_type,47533,11,Tropical Storm,11994,,,,,,,
storm_description,47533,15,Tropical Storm,11994,,,,,,,
season,47533,22,2018,6006,,,,,,,
storm_max_wind,47533.0,,,,32.091052531925186,0.0,16.0,26.0,40.0,160.0,25.106767689655026
storm_forecast,47533.0,,,,32.09149433025477,0.0,16.0,26.0,40.0,160.0,25.10630981029708
storm_active,153,1,True,153,,,,,,,
agencies,47533,4,JTWC,28857,,,,,,,
place,47533,201,in the eastern Pacific Ocean,3930,,,,,,,
year,47533.0,,,,2020.7993183682916,2016.0,2019.0,2021.0,2023.0,2026.0,2.635404479086731
track_id,47533,301,track_1,942,,,,,,,
track_num,47533.0,,,,35.70094460690468,1.0,13.0,28.0,50.0,301.0,30.35625102168622
date_utc,47533,,,,2021-04-21 06:52:49.127974+00:00,2016-07-15 00:00:00+00:00,2018-12-09 18:00:00+00:00,2021-02-08 12:00:00+00:00,2023-08-13 09:00:00+00:00,2026-01-24 00:00:00+00:00,
longitude,47533.0,,,,35.13929059811078,-179.8,-71.0,73.5,126.4,256.3,105.89179289317352
latitude,47533.0,,,,10.41272799949509,-44.3,-11.7,15.9,22.8,64.0,19.48095615035862
wind,47533.0,,,,49.90999936885953,0.0,30.0,40.0,60.0,170.0,27.381867393978112
pressure,47471.0,,,,989.9426597290977,882.0,983.0,997.0,1004.0,1019.0,19.511147942490734
spline_point_count,40211.0,,,,4.351993235681778,3.0,3.0,4.0,5.0,209.0,1.954250990698765
spline_length_deg,40211.0,,,,0.7827602064360498,0.007685,0.316272,0.495067,0.692332,365.61282,9.16704897440222
spline_end_lon,40211.0,,,,35.69008455397777,-180.0,-68.0,75.3,126.1,179.9,104.96329559954017
spline_end_lat,40211.0,,,,10.12389943050409,-44.3,-12.6,16.0,23.3,64.0,20.026698627461734
spline_displacement,40211.0,,,,0.7770679023401557,0.0,0.316228,0.490408,0.68593,359.8005,9.118306939814168
spline_bearing_deg,40211.0,,,,209.6762308820969,0.0,115.11,255.96,293.2,358.75,106.38340387758217
spline_curvature,40142.0,,,,1.014659685616063,1.0,1.0004,1.001,1.0034,101.7351,0.6242528720371747
nearest_city,47533,58,La Trinidad,14673,,,,,,,
nearest_state,47533,55,Cordillera,14566,,,,,,,
nearest_country,47533,25,Philippines,14566,,,,,,,
nearest_lat,47533.0,,,,16.039389713882986,-33.5165,14.73807,16.455,19.61668,54.17841,16.40739744970656
nearest_lon,47533.0,,,,26.756364800875183,-122.71446,-77.53165,57.64194,120.5875,120.5875,95.68020785077051
elevation,47533.0,,,,749.9845370584646,3.0,66.0,319.0,1318.0,2812.0,808.788254346788
timezone,47533,26,Asia/Manila,14566,,,,,,,
timezone_offset,47533.0,,,,1.8979340668588138,-8.0,-5.0,4.0,8.0,8.0,6.3195887385626595
sun_ra_hours,47533.0,,,,12.532881784495222,0.001185153094278787,9.06403901598973,11.985577890040524,16.1371079972558,23.996819546603636,5.7069883874131895
sun_dec_deg,47533.0,,,,0.03907353157419598,-23.437984772462283,-13.442643469671523,0.08786319884105608,13.503208178018411,23.436752179487563,14.895480307174834
sun_ecliptic_lon_deg,47533.0,,,,187.80626131861973,0.07140011761967714,133.76033148625268,179.96801410727818,244.17470714844666,359.9976055491566,85.35565170177334
