variable,kw_H,kw_p,significant_p05,n_categories,p_adjusted_bh,significant_after_bh_correction
drik_ritu,1214.031,2.6840821456089064e-260,True,6,2.684082145608906e-259,True
sunsign,1123.14,5.890709283305625e-234,True,12,2.9453546416528127e-233,True
yoga,143.347,3.425466805065444e-18,True,27,8.56366701266361e-18,True
nakshatra,116.093,2.3656791542028924e-13,True,27,4.731358308405785e-13,True
drik_ayana,102.632,4.036308963219603e-24,True,2,1.345436321073201e-23,True
moonsign,77.927,3.709041188570962e-12,True,12,6.181735314284937e-12,True
tithi,51.255,7.4966171463731295e-06,True,16,9.370771432966411e-06,True
karana,42.483,6.152029136250302e-06,True,11,8.788613051786146e-06,True
weekday,11.592,0.07171831956267886,False,7,0.07171831956267886,False
paksha,8.114,0.004392483577858486,True,2,0.004880537308731651,True
