storm_id,storm_name,storm_type,n_tracks,max_wind,min_pressure,mean_wind,std_wind,total_displacement,max_displacement,lat_range,lon_range,duration_hours
01b-2022,01B,Cyclone,31,35,1002.0,27.77,4.88,10.88,0.71,5.1,4.6,90.0
01b-2025,01B,Cyclone,11,35,994.0,35.0,0.0,4.45,0.73,3.6,1.8,30.0
01e-2018,01E,Tropical Depression,25,30,1007.0,25.16,3.93,5.84,0.5,1.4,5.0,72.0
01e-2020,01E,Tropical Depression,19,30,1006.0,27.53,2.5,7.24,0.51,3.3,6.3,54.0
01l-2023,01L,Subtropical Storm,28,60,976.0,46.46,7.26,22.93,1.61,15.0,11.3,78.0
01s-2019,01S,Tropical Storm,41,45,1002.0,31.41,7.08,22.83,0.94,4.3,21.0,120.0
01s-2023,01S,Cyclone,35,45,995.0,34.43,6.21,10.56,0.58,5.23,4.8,102.0
01s-2026,01S,Tropical Storm,23,35,1002.0,33.04,2.8,10.94,0.9,4.4,8.3,66.0
01w-2017,01W,Tropical Depression,65,30,1000.0,20.97,3.75,23.36,0.72,3.4,19.6,192.0
01w-2019,01W,Tropical Depression,149,30,1002.0,17.34,3.28,61.39,1.1,11.0,49.1,444.0
01w-2022,01W,Tropical Storm,17,35,1002.0,24.76,7.23,7.0,0.67,3.5,5.6,48.0
02w-2017,02W,Tropical Depression,19,25,1004.0,22.68,3.13,8.75,0.86,6.4,5.3,54.0
03a-2022,03A,Cyclone,18,40,986.0,31.56,6.55,7.54,0.81,2.0,3.2,51.0
03b-2018,03B,Cyclone,15,45,989.0,33.67,6.56,6.53,0.99,4.4,4.8,42.0
03b-2023,03B,Cyclone,15,45,982.0,35.67,5.81,2.87,0.5,2.3,0.7,42.0
03l-2019,03L,Tropical Depression,9,30,1013.0,27.0,2.45,5.22,0.92,4.0,2.6,24.0
03s-2017,03S,Cyclone,63,50,985.0,27.65,9.2,38.25,0.98,6.9,36.3,186.0
03s-2021,03S,Cyclone,53,45,992.0,32.92,6.22,27.95,2.06,17.1,18.5,156.0
03w-2019,03W,Tropical Storm,37,35,1001.0,26.03,5.1,22.31,0.92,1.6,22.1,108.0
03w-2021,03W (Crising),Tropical Storm,27,35,1000.0,25.63,5.18,13.56,0.95,3.4,12.8,78.0
03w-2024,03W,Tropical Depression,11,25,997.0,22.82,3.54,6.63,0.95,3.3,5.7,30.0
03w-2025,03W,Tropical Depression,15,25,1002.0,23.0,3.68,9.62,1.36,6.9,6.0,54.0
04b-2017,04B,Cyclone,17,45,989.0,32.53,7.83,6.28,0.71,5.3,2.4,48.0
04b-2021,04B,Cyclone,11,40,994.0,30.55,4.52,5.41,0.9,2.2,4.6,30.0
04b-2022,04B,Cyclone,23,45,990.0,34.61,5.22,11.46,0.89,4.9,10.3,66.0
04b-2023,04B,Cyclone,23,40,981.0,30.91,5.78,10.36,1.08,4.7,5.9,66.0
04e-2019,04E,Tropical Depression,23,30,1006.0,26.61,4.32,13.48,0.73,4.5,12.5,66.0
04e-2020,04E,Tropical Depression,13,25,1006.0,23.69,2.18,1.77,0.28,1.4,0.8,36.0
04e-2023,04E,Tropical Depression,21,30,1006.0,28.71,2.17,12.34,0.82,3.9,11.4,60.0
04l-2017,04L,Tropical Depression,15,25,1009.0,25.0,0.0,13.07,1.04,3.4,12.6,42.0
04l-2022,04L,Disturbance,26,30,1009.0,24.77,4.84,12.69,0.78,8.5,9.1,78.0
04p-2021,04P,Cyclone,25,40,997.0,31.84,5.49,13.71,1.02,3.77,11.8,72.0
04s-2023,04S,Cyclone,41,40,994.0,30.98,4.8,21.14,1.04,7.4,17.0,120.0
04w-2018,04W,Tropical Storm,33,35,1004.0,28.48,4.76,11.91,0.57,6.6,7.7,96.0
04w-2019,04W,Tropical Storm,27,35,998.0,24.56,5.94,15.8,1.17,10.0,11.8,78.0
05s-2025,05S (Tropical Low 07U),Cyclone,33,35,1001.0,29.06,4.41,13.37,0.92,6.0,6.7,96.0
06e-2020,06E,Tropical Depression,11,30,1007.0,27.55,2.5,7.14,0.8,1.5,6.9,30.0
06p-2025,06P,Cyclone,12,51,997.0,34.67,8.93,365.07,359.0,0.6,359.0,42.0
06p-2026,06P,Cyclone,11,39,999.0,37.18,1.89,7.26,0.86,6.3,3.2,30.0
06w-2020,06W,Tropical Storm,33,45,1000.0,29.0,6.09,17.84,0.8,2.1,17.4,96.0
07a-2019,07A,Cyclone,27,45,996.0,31.0,9.51,9.22,0.58,3.7,7.2,78.0
07a-2022,07A,Cyclone,49,50,994.0,33.08,8.57,19.39,0.67,2.6,17.7,144.0
07e-2020,07E,Tropical Storm,15,35,1006.0,32.27,3.22,7.28,0.64,2.3,6.6,42.0
07w-2018,07W,Subtropical Storm,11,35,993.0,31.64,2.34,8.64,1.22,5.9,6.1,30.0
07w-2025,07W,Tropical Depression,11,29,992.0,27.73,1.85,7.73,1.04,2.0,7.2,30.0
08e-2017,08E,Tropical Depression,31,30,1007.0,27.29,2.45,9.57,0.5,2.0,8.6,90.0
08l-2024,08L,,17,50,1004.0,40.71,6.46,4.98,0.5,3.5,3.1,48.0
08p-2017,08P,Cyclone,15,45,989.0,36.33,6.56,19.87,1.7,9.9,17.2,42.0
08p-2026,08P,Cyclone,25,39,997.0,33.8,5.09,9.51,0.85,5.3,5.0,102.0
08w-2022,08W,Tropical Depression,9,25,1001.0,22.33,3.77,4.56,0.81,1.6,4.2,24.0
08w-2025,08W,Tropical Storm,10,39,1000.0,31.4,6.26,15.95,3.34,15.8,1.8,42.0
09e-2018,09E,Tropical Depression,9,30,1007.0,29.22,1.72,4.13,0.61,0.3,4.1,24.0
09p-2022,09P,Cyclone,41,45,994.0,29.78,7.61,17.54,0.99,5.8,14.8,120.0
09s-2020,09S,Tropical Storm,37,40,999.0,31.11,4.37,21.9,0.98,18.9,9.9,108.0
09s-2024,09S,Tropical Storm,21,35,996.0,34.57,1.43,8.16,1.05,3.43,4.5,60.0
10e-2020,10E,Tropical Depression,37,30,1004.0,28.0,3.25,9.04,0.45,1.9,7.4,108.0
10l-2017,10L,Disturbance,17,40,1004.0,34.47,2.6,7.23,1.48,4.7,5.2,48.0
10l-2020,10L,Tropical Depression,11,30,1008.0,26.91,3.51,6.37,0.73,3.9,4.7,30.0
10p-2023,10P,Cyclone,35,40,996.0,27.37,5.45,15.88,1.33,10.4,8.4,102.0
11e-2017,11E,Tropical Depression,31,30,1006.0,22.87,6.38,7.79,0.76,4.2,5.1,90.0
