variable,category,n,mean,median,q1,q3,iqr,std,skewness,mean_median_gap,preferred_central_tendency,skew_note
tithi,Amavasai,1668,49.81,40.0,30.0,62.0,32.0,27.0,1.3,9.81,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Astami,3067,50.17,40.0,30.0,60.0,30.0,27.5,1.27,10.17,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Duvadasi,2928,50.76,43.0,30.0,63.0,33.0,27.36,1.256,7.76,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Egadashi,2987,50.52,43.0,30.0,64.0,34.0,26.8,1.2,7.52,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Navami,3169,49.69,40.0,30.0,60.0,30.0,26.74,1.326,9.69,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Panjami,3016,49.84,41.0,30.0,60.0,30.0,26.92,1.516,8.84,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Pirathamai,3084,48.25,40.0,30.0,60.0,30.0,27.09,1.454,8.25,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Pournami,1353,49.2,40.0,30.0,60.0,30.0,28.01,1.652,9.2,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Sapthami,3056,50.6,40.0,30.0,63.0,33.0,28.11,1.285,10.6,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Sathuradasi,3053,50.29,40.0,30.0,60.0,30.0,28.07,1.309,10.29,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Sathurthi,3047,49.45,40.0,30.0,60.0,30.0,26.08,1.403,9.45,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Shasti,2984,49.9,40.0,30.0,63.0,33.0,27.34,1.366,9.9,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Thasami,3092,48.6,40.0,30.0,60.0,30.0,25.92,1.274,8.6,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Thirayodasi,2949,51.01,40.0,30.0,60.0,30.0,28.29,1.314,11.01,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Thiruthiyai,3130,49.23,40.0,30.0,60.0,30.0,26.67,1.424,9.23,median,"Wind is right-skewed; use median/IQR, not mean/std"
tithi,Thuthiyai,2970,48.95,40.0,30.0,60.0,30.0,27.46,1.394,8.95,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Anusham,1679,49.43,42.0,30.0,60.0,30.0,24.7,1.356,7.43,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Aswini,1584,49.45,40.0,30.0,60.0,30.0,28.52,1.571,9.45,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Avittam,1628,49.54,40.0,30.0,60.0,30.0,27.7,1.496,9.54,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Ayilyam,1707,49.16,43.0,30.0,60.0,30.0,24.93,1.204,6.16,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Bharani,1591,50.59,40.0,30.0,60.0,30.0,28.9,1.393,10.59,median,"Wind is right-skewed; use median/IQR, not mean/std"
nakshatra,Chithirai,1761,50.85,42.0,30.0,60.0,30.0,27.38,1.403,8.85,median,"Wind is right-skewed; use median/IQR, not mean/std"
