storm_name,count
Alfred,113
Honde,65
Courtney,64
Erin,55
Errol,54
Debbie,50
Jude,45
Henriette,44
Grant,40
Enawo,37
Ivone,36
Wutip,36
31S (Tropical Low 30U),34
Caleb,34
Garance,34
Iona,34
Vince,33
Kiko,32
Sepat,30
Wipha (Crising),30
Carlos,29
Fernando,28
Dalila,27
Krosa,27
Bailu,26
Chantal,25
Cosme,25
Erick,25
Dexter,24
Alvin,23
Barbara,22
Co-may (Emong),22
Danas (Bising),21
Taliah,21
14P,20
26S (Tropical Low 25U),20
Olga,20
01S,19
Dudzai,19
Mun,19
Ivo,18
Nari,18
Rae,18
Blanche,17
Flossie,17
Gil,17
Podul (Gorio),17
Dineo,16
Blossom,15
Faida,15
Seru,15
Melissa,14
Tam,14
Bart,13
Ernie,13
03S,12
Cook,12
Donna,12
Neville,12
Awo,11
Fernand,11
Juliette,11
32P (Tropical Low 33U),10
Bianca,10
Frances,10
Keli,10
03W,9
08P,9
Ella,9
Gamane,9
Kajiki (Isang),9
Mario,9
Nokaen (Ada),9
Andrea,8
Arlene,8
Dianne,8
Fung-wong (Uwan),8
06P,7
17W,7
Filipo,7
Freddy,7
Hidaya,7
Iggy,7
Megan,7
Sonia,7
08W,6
Dikeledi,6
Francisco (Dante),6
Hayley,6
Jerry,6
Kalmaegi (Tino),6
Maarutha,6
Nakri (Quedan),6
Nock-ten (Nina),6
14W,5
15P,5
Bakung,5
Eleanor,5
Fina,5
Halong,5
Jenna,5
Lincoln,5
Muifa (Dante),5
Nongfa (Jacinto),5
Octave,5
Priscilla,5
Vardah,5
Barry,4
Chenge,4
Ewiniar (Aghon),4
Lingling (Huaning),4
Lorena,4
Yakecan,4
07W,3
15W,3
Fengshen (Ramil),3
Gabrielle,3
Humberto,3
Imelda,3
Jasmine,3
Karen,3
Paul,3
Peipah,3
Pita,3
Raymond,3
Tapah (Lannie),3
02W,2
16P,2
92W,2
94P (Tropical Low 14U),2
Abela,2
Amphan,2
Chido,2
Djoungou,2
Elvis,2
Ewetse,2
Harold,2
Herold,2
Kevin,2
Koji,2
Koto (Verbena),2
Lorenzo,2
Matmo (Paolo),2
Narda,2
Neoguri,2
Sarika,2
Shakhti,2
Yvette,2
01B,1
05S (Tropical Low 07U),1
12P (Tropical Low 06U),1
20P,1
34W,1
96S (Tropical Low 15U),1
97S (Tropical Low 16U),1
Cheneso,1
Edouard,1
Enala,1
Eva,1
Gita,1
Halima,1
Ialy,1
Kenneth,1
Mora,1
Nada,1
Nat,1
Osai,1
Sean,1
Senyar,1
Tina,1
