feature,r_sin,r_cos,r_circular_max,n,note
vedic_yam_full_degree,0.08938157577467842,-0.020184222296772445,0.08938157577467842,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_guru_full_degree,0.0712998839265151,-0.042485400369761187,0.0712998839265151,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_shani_full_degree,0.05394349663625629,-0.014911013482373057,0.05394349663625629,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_spashth_ketu_full_degree,0.028634970810630673,0.03457426408038229,0.03457426408038229,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_ketu_full_degree,0.027388837474092865,0.03392490276926148,0.03392490276926148,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_lagna_full_degree,-0.0009771994725470356,0.003723419917074702,0.003723419917074702,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_chandra_full_degree,-0.002553180823783335,-0.008752292923463446,-0.008752292923463446,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_varun_full_degree,-0.0025831399331672686,-0.00898773754234634,-0.00898773754234634,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_arun_full_degree,0.005222209270852316,-0.0199000371786207,-0.0199000371786207,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_rahu_full_degree,-0.027388837474092886,-0.03392490276926148,-0.03392490276926148,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_spashth_rahu_full_degree,-0.02863497081063067,-0.034574264080382285,-0.034574264080382285,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_mangal_full_degree,-0.003261169213041113,-0.05289909016406641,-0.05289909016406641,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_budha_full_degree,0.027732989838328462,-0.05699993609282277,-0.05699993609282277,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_surya_full_degree,0.04193960066698483,-0.06041464187196301,-0.06041464187196301,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
vedic_shukra_full_degree,0.026304521973679544,-0.06712029879726032,-0.06712029879726032,45290,"Circular-linear: max(|r_sin|, |r_cos|); NOT naive Pearson on raw degree"
