fold,boundary,model,rmse
1,2018-08-06 12:00:00+00:00,meteo_only,3.3692370199921813
1,2018-08-06 12:00:00+00:00,full_all_blocks,3.3572151470331977
1,2018-08-06 12:00:00+00:00,stacked_residual,3.372758185947851
2,2020-01-23 00:00:00+00:00,meteo_only,3.7533314443618457
2,2020-01-23 00:00:00+00:00,full_all_blocks,3.884751241283051
2,2020-01-23 00:00:00+00:00,stacked_residual,3.8129265126869427
3,2021-09-13 09:00:00+00:00,meteo_only,3.191179311650056
3,2021-09-13 09:00:00+00:00,full_all_blocks,3.5080061307593806
3,2021-09-13 09:00:00+00:00,stacked_residual,3.1880505429330808
4,2023-04-22 06:00:00+00:00,meteo_only,3.2093046208817606
4,2023-04-22 06:00:00+00:00,full_all_blocks,3.6851947473570594
4,2023-04-22 06:00:00+00:00,stacked_residual,3.2114569740208543
5,2025-01-31 06:00:00+00:00,meteo_only,3.796871234057982
5,2025-01-31 06:00:00+00:00,full_all_blocks,4.09024046431635
5,2025-01-31 06:00:00+00:00,stacked_residual,3.87493052079515
