stratum,variable,n_obs,n_groups,H_within,p_within,p_bh,sig_within
Grishma (Summer)|NH,tithi,2401,16,142.49,7.418541133010022e-23,4.451124679806013e-22,True
Grishma (Summer)|SH,tithi,934,16,186.882,9.690752654672792e-32,1.1628903185607352e-30,True
Hemant (Prewinter)|NH,tithi,5420,16,119.887,1.9902528535492194e-18,5.970758560647658e-18,True
Hemant (Prewinter)|SH,tithi,1663,16,124.197,2.89043905969869e-19,1.156175623879476e-18,True
Sharad (Autumn)|NH,tithi,13915,16,70.386,3.81234083403804e-09,4.574809000845647e-09,True
Sharad (Autumn)|SH,tithi,1808,16,72.011,1.953040003228705e-09,2.604053337638273e-09,True
Shishir (Winter)|NH,tithi,674,16,84.062,1.253412242760368e-11,1.880118364140552e-11,True
Shishir (Winter)|SH,tithi,3094,16,90.92,6.677585867139607e-13,1.144729005795361e-12,True
Varsha (Monsoon)|NH,tithi,9177,16,59.943,2.5798043634645684e-07,2.5798043634645684e-07,True
Varsha (Monsoon)|SH,tithi,2669,16,61.37,1.4640084272763746e-07,1.5971001024833177e-07,True
Vasant (Spring)|NH,tithi,502,15,101.079,2.944752997779025e-15,7.06740719466966e-15,True
Vasant (Spring)|SH,tithi,3296,16,96.876,5.0850255809839863e-14,1.0170051161967973e-13,True
Grishma (Summer)|NH,nakshatra,2401,27,144.374,2.2303769377333146e-18,3.823503321828539e-18,True
Grishma (Summer)|SH,nakshatra,934,27,295.356,1.7873844840045105e-47,2.144861380805413e-46,True
Hemant (Prewinter)|NH,nakshatra,5420,27,143.4,3.3511428456722765e-18,5.026714268508415e-18,True
Hemant (Prewinter)|SH,nakshatra,1663,27,222.096,4.86853853803664e-33,1.947415415214656e-32,True
Sharad (Autumn)|NH,nakshatra,13915,27,136.624,5.603636743226471e-17,7.471515657635295e-17,True
Sharad (Autumn)|SH,nakshatra,1808,27,221.433,6.544934952988542e-33,1.9634804858965627e-32,True
Shishir (Winter)|NH,nakshatra,674,26,267.763,1.6437151252922675e-42,9.862290751753605e-42,True
Shishir (Winter)|SH,nakshatra,3094,27,134.18,1.536849607158631e-16,1.844219528590357e-16,True
Varsha (Monsoon)|NH,nakshatra,9177,27,116.357,2.1289912220379117e-13,2.322535878586813e-13,True
Varsha (Monsoon)|SH,nakshatra,2669,27,81.305,1.317596870571188e-07,1.317596870571188e-07,True
Vasant (Spring)|NH,nakshatra,502,22,167.328,8.442945813502806e-25,2.0263069952406734e-24,True
Vasant (Spring)|SH,nakshatra,3296,27,161.733,1.4512846267988323e-21,2.9025692535976647e-21,True
Grishma (Summer)|NH,yoga,2401,27,109.549,3.155601553340538e-12,3.155601553340538e-12,True
Grishma (Summer)|SH,yoga,934,26,179.058,3.0783985306859916e-25,6.156797061371983e-25,True
Hemant (Prewinter)|NH,yoga,5420,27,139.969,1.399377024091844e-17,2.099065536137766e-17,True
Hemant (Prewinter)|SH,yoga,1663,27,156.146,1.564114295745688e-20,2.6813387927068935e-20,True
Sharad (Autumn)|NH,yoga,13915,27,134.43,1.3867039281313508e-16,1.848938570841801e-16,True
Sharad (Autumn)|SH,yoga,1808,27,212.511,3.476983860400203e-31,2.086190316240122e-30,True
Shishir (Winter)|NH,yoga,674,24,258.99,7.953642574133838e-42,9.544371088960607e-41,True
Shishir (Winter)|SH,yoga,3094,27,129.013,1.28146516939859e-15,1.5377582032783078e-15,True
Varsha (Monsoon)|NH,yoga,9177,27,182.925,1.5604465255054122e-25,4.626751155238739e-25,True
Varsha (Monsoon)|SH,yoga,2669,27,117.314,1.452830391271176e-13,1.5849058813867375e-13,True
Vasant (Spring)|NH,yoga,502,22,170.651,1.9278129813494747e-25,4.626751155238739e-25,True
Vasant (Spring)|SH,yoga,3296,27,202.052,3.565105864022134e-29,1.4260423456088536e-28,True
Grishma (Summer)|NH,moonsign,2401,12,116.755,8.136317704215868e-20,1.6272635408431735e-19,True
Grishma (Summer)|SH,moonsign,934,12,257.561,7.280568681632294e-49,8.736682417958753e-48,True
Hemant (Prewinter)|NH,moonsign,5420,12,76.196,7.987590355949356e-12,1.0650120474599141e-11,True
Hemant (Prewinter)|SH,moonsign,1663,12,164.531,1.5717231075897454e-29,6.286892430358981e-29,True
Sharad (Autumn)|NH,moonsign,13915,12,68.223,2.6554109651900047e-10,2.89681196202546e-10,True
Sharad (Autumn)|SH,moonsign,1808,12,155.617,1.0581870266478514e-27,3.1745610799435543e-27,True
Shishir (Winter)|NH,moonsign,674,12,252.037,1.0463022307423099e-47,6.27781338445386e-47,True
Shishir (Winter)|SH,moonsign,3094,12,97.743,4.99131972134224e-16,8.556548093729553e-16,True
Varsha (Monsoon)|NH,moonsign,9177,12,73.695,2.4106251507173926e-11,2.892750180860871e-11,True
Varsha (Monsoon)|SH,moonsign,2669,12,64.024,1.6435247941876082e-09,1.6435247941876082e-09,True
Vasant (Spring)|NH,moonsign,502,11,150.252,3.308214947389938e-27,7.93971587373585e-27,True
Vasant (Spring)|SH,moonsign,3296,12,97.247,6.254295089268762e-16,9.381442633903144e-16,True
