finding_id,source,test_type,feature,statistic,stat_label,p_value,effect_metric,effect_value,effect_interpretation,cohens_d,cohens_d_interp
RET_GURU,05,Mann-Whitney U,guru retrograde vs direct wind,222381232.0,U,2.3128684460498814e-23,rank-biserial r,0.0576,small,-0.1167,small
RET_SHANI,05,Mann-Whitney U,shani retrograde vs direct wind,287701469.0,U,4.988765903408708e-06,rank-biserial r,-0.0242,small,0.0125,small
RET_MANGAL,05,Mann-Whitney U,mangal retrograde vs direct wind,96293298.0,U,0.0004488896390088,rank-biserial r,-0.0323,small,0.0398,small
RET_BUDHA,05,Mann-Whitney U,budha retrograde vs direct wind,174341576.0,U,2.337799904246324e-22,rank-biserial r,0.0633,small,-0.1018,small
RET_SHUKRA,05,Mann-Whitney U,shukra retrograde vs direct wind,85699652.0,U,6.619880626410572e-06,rank-biserial r,-0.0442,small,0.0745,small
RET_ARUN,05,Mann-Whitney U,arun retrograde vs direct wind,301477181.0,U,1.01747662943546e-38,rank-biserial r,-0.0688,small,0.1249,small
RET_VARUN,05,Mann-Whitney U,varun retrograde vs direct wind,294164036.0,U,2.329952338753825e-59,rank-biserial r,-0.0878,small,0.1392,small
KW_DRIK_RITU,02,Kruskal-Wallis,drik_ritu vs wind,1214.03,H,2.6840821456089064e-260,epsilon-squared,0.025418,small,,NA
KW_SUNSIGN,02,Kruskal-Wallis,sunsign vs wind,1123.14,H,5.890709283305625e-234,epsilon-squared,0.019545,small,,NA
KW_YOGA,02,Kruskal-Wallis,yoga vs wind,143.35,H,3.425466805065444e-18,epsilon-squared,-0.120352,small,,NA
KW_NAKSHATRA,02,Kruskal-Wallis,nakshatra vs wind,116.09,H,2.3656791542028924e-13,epsilon-squared,-0.118273,small,,NA
KW_DRIK_AYANA,02,Kruskal-Wallis,drik_ayana vs wind,102.63,H,4.036308963219603e-24,epsilon-squared,0.002117,small,,NA
KW_MOONSIGN,02,Kruskal-Wallis,moonsign vs wind,77.93,H,3.709041188570962e-12,epsilon-squared,-0.049799,small,,NA
KW_TITHI,02,Kruskal-Wallis,tithi vs wind,51.26,H,7.4966171463731295e-06,epsilon-squared,-0.115409,small,,NA
KW_KARANA,02,Kruskal-Wallis,karana vs wind,42.48,H,6.152029136250302e-06,epsilon-squared,-0.085351,small,,NA
KW_PAKSHA,02,Kruskal-Wallis,paksha vs wind,8.11,H,0.0043924835778584,epsilon-squared,0.000129,small,,NA
H2_LUNAR_RI,06,Chi-squared,Lunar phase vs RI (>=10 kt),19.6558,chi2,0.006363,Cramer's V,0.0203,small,,NA
