lifecycle_phase,lunar_phase_cat,ri_count,total_count,median_wind,ri_rate,chi2,p,n_obs
Genesis,New Moon,12,1270,33.0,0.009448818897637795,24.878,0.0007975799567450237,9870
Genesis,Waxing Crescent,1,1180,35.0,0.000847457627118644,24.878,0.0007975799567450237,9870
Genesis,First Quarter,7,1238,35.0,0.005654281098546042,24.878,0.0007975799567450237,9870
Genesis,Waxing Gibbous,12,1019,35.0,0.011776251226692836,24.878,0.0007975799567450237,9870
Genesis,Full Moon,22,1132,35.0,0.019434628975265017,24.878,0.0007975799567450237,9870
Genesis,Waning Gibbous,10,1309,35.0,0.007639419404125287,24.878,0.0007975799567450237,9870
Genesis,Third Quarter,14,1328,35.0,0.010542168674698794,24.878,0.0007975799567450237,9870
Genesis,Waning Crescent,14,1394,35.0,0.010043041606886656,24.878,0.0007975799567450237,9870
Intensify,New Moon,44,2005,50.0,0.021945137157107233,15.99,0.025209321840799156,14285
Intensify,Waxing Crescent,38,1726,45.0,0.0220162224797219,15.99,0.025209321840799156,14285
Intensify,First Quarter,51,1812,51.0,0.028145695364238412,15.99,0.025209321840799156,14285
Intensify,Waxing Gibbous,43,1571,48.0,0.02737110120942075,15.99,0.025209321840799156,14285
Intensify,Full Moon,24,1531,50.0,0.015676028739386023,15.99,0.025209321840799156,14285
Intensify,Waning Gibbous,57,1800,52.0,0.03166666666666667,15.99,0.025209321840799156,14285
Intensify,Third Quarter,31,1839,50.0,0.016856987493202826,15.99,0.025209321840799156,14285
Intensify,Waning Crescent,47,2001,50.0,0.02348825587206397,15.99,0.025209321840799156,14285
Mature,New Moon,21,1310,50.0,0.01603053435114504,8.831,0.26498714180315613,9011
Mature,Waxing Crescent,9,1206,53.5,0.007462686567164179,8.831,0.26498714180315613,9011
Mature,First Quarter,9,1117,51.0,0.008057296329453895,8.831,0.26498714180315613,9011
Mature,Waxing Gibbous,16,1072,54.0,0.014925373134328358,8.831,0.26498714180315613,9011
Mature,Full Moon,16,1057,50.0,0.015137180700094607,8.831,0.26498714180315613,9011
Mature,Waning Gibbous,11,918,55.0,0.011982570806100218,8.831,0.26498714180315613,9011
Mature,Third Quarter,9,1145,53.0,0.007860262008733625,8.831,0.26498714180315613,9011
Mature,Waning Crescent,15,1186,48.0,0.012647554806070826,8.831,0.26498714180315613,9011
Dissipate,New Moon,3,1944,35.0,0.0015432098765432098,24.384,0.000975024221785321,14367
Dissipate,Waxing Crescent,1,2076,38.0,0.0004816955684007707,24.384,0.000975024221785321,14367
Dissipate,First Quarter,15,1857,39.0,0.008077544426494346,24.384,0.000975024221785321,14367
Dissipate,Waxing Gibbous,8,1757,38.0,0.004553215708594195,24.384,0.000975024221785321,14367
Dissipate,Full Moon,3,1640,35.0,0.001829268292682927,24.384,0.000975024221785321,14367
Dissipate,Waning Gibbous,3,1622,35.0,0.0018495684340320592,24.384,0.000975024221785321,14367
Dissipate,Third Quarter,10,1803,35.0,0.005546311702717693,24.384,0.000975024221785321,14367
Dissipate,Waning Crescent,7,1668,35.0,0.004196642685851319,24.384,0.000975024221785321,14367
