speed_feature,quintile,n,speed_median,speed_q1,speed_q3,bearing_median,bearing_q1,bearing_q3,wind_median,monotone_rho_bearing
vedic_yam_speed_deg_per_day,Q1,13869,-0.03,-0.03,-0.02,279.46,84.81,303.69,40.0,-1.0
vedic_yam_speed_deg_per_day,Q2,5883,-0.01,-0.01,-0.01,270.0,75.96,300.96,45.0,-1.0
vedic_yam_speed_deg_per_day,Q3,3951,0.0,0.0,0.0,243.43,78.69,296.57,45.0,-1.0
vedic_yam_speed_deg_per_day,Q4,9805,0.02,0.01,0.02,231.34,134.45,270.0,40.0,-1.0
vedic_yam_speed_deg_per_day,Q5,4830,0.03,0.03,0.03,216.87,135.0,262.87,37.0,-1.0
vedic_shani_speed_deg_per_day,Q1,8151,-0.08,-0.08,-0.07,277.13,85.91,300.96,40.0,-1.0
vedic_shani_speed_deg_per_day,Q2,8622,-0.04,-0.05,-0.03,270.0,82.97500000000001,303.69,45.0,-1.0
vedic_shani_speed_deg_per_day,Q3,7420,0.01,0.0,0.03,261.87,90.0,296.57,45.0,-1.0
vedic_shani_speed_deg_per_day,Q4,6663,0.07,0.06,0.08,236.31,116.57,281.31,45.0,-1.0
vedic_shani_speed_deg_per_day,Q5,7482,0.11,0.1,0.11,213.69,134.3675,264.0775,39.0,-1.0
vedic_surya_speed_deg_per_day,Q1,12803,0.95,0.95,0.96,278.13,86.27,303.69,40.0,-1.0
vedic_surya_speed_deg_per_day,Q2,4999,0.97,0.97,0.97,270.0,90.0,300.35,45.0,-1.0
vedic_surya_speed_deg_per_day,Q3,8741,0.98,0.98,0.99,243.43,90.0,291.8,48.0,-1.0
vedic_surya_speed_deg_per_day,Q4,4540,1.0,1.0,1.0,236.31,124.2475,277.13,40.0,-1.0
vedic_surya_speed_deg_per_day,Q5,7255,1.01,1.01,1.01,225.0,135.0,270.0,38.0,-1.0
vedic_guru_speed_deg_per_day,Q1,8219,-0.12,-0.13,-0.09,270.0,104.04,296.57,40.0,-0.8208
vedic_guru_speed_deg_per_day,Q2,7321,0.0,-0.03,0.02,255.96,90.0,296.57,43.0,-0.8208
vedic_guru_speed_deg_per_day,Q3,7818,0.1,0.08,0.12,270.0,123.69,296.57,45.0,-0.8208
vedic_guru_speed_deg_per_day,Q4,7873,0.18,0.16,0.19,253.69,113.2,290.56,45.0,-0.8208
vedic_guru_speed_deg_per_day,Q5,7107,0.22,0.21,0.23,233.13,118.545,278.43,40.0,-0.8208
vedic_arun_speed_deg_per_day,Q1,9050,-0.04,-0.05,-0.04,262.87,82.41,296.57,45.0,-0.6669
vedic_arun_speed_deg_per_day,Q2,8505,-0.03,-0.03,-0.02,270.0,101.31,296.57,45.0,-0.6669
vedic_arun_speed_deg_per_day,Q3,6341,0.0,-0.01,0.0,270.0,149.04,296.57,40.0,-0.6669
vedic_arun_speed_deg_per_day,Q4,8233,0.02,0.01,0.03,250.2,123.69,288.43,40.0,-0.6669
vedic_arun_speed_deg_per_day,Q5,6209,0.05,0.04,0.05,223.78,113.2,284.04,40.0,-0.6669
