,0
latitude,4.16696
longitude,2.386045
spline_end_lon,2.2156947
spline_bearing_deg,1.6047394
sun_dec_deg,1.0985583
spline_curvature,1.0244601
dinamana_minutes,0.9123015
vedic_chandra_speed_deg_per_day,0.8336458
mercury_ecliptic_lat_deg,0.8142231
elevation,0.67792547
vedic_budha_full_degree,0.66599005
mars_ecliptic_lat_deg,0.65443844
vedic_guru_full_degree,0.63486034
venus_ecliptic_lat_deg,0.6228635
mercury_dec_deg,0.6129001
moon_ecliptic_lat_deg,0.598708
ratrimana_minutes,0.5462796
nearest_lat,0.5380068
vedic_arun_speed_deg_per_day,0.5270616
nearest_lon,0.47444287
vedic_surya_padam,0.46977547
spline_point_count,0.457209
vedic_varun_speed_deg_per_day,0.45551273
day_of_year,0.4493079
vedic_budha_speed_deg_per_day,0.38159007
vedic_yam_declination,0.34401923
vedic_yam_right_ascension,0.3432926
neptune_ecliptic_lon_deg,0.3290403
vedic_arun_full_degree,0.32847112
vedic_surya_declination,0.32441592
jupiter_dec_deg,0.32252306
vedic_guru_declination,0.32061356
vedic_rahu_full_degree,0.32034984
vedic_guru_speed_deg_per_day,0.3195932
spline_length_deg,0.31315237
venus_dec_deg,0.30802962
jupiter_ra_hours,0.30712134
year,0.30388007
vedic_shani_declination,0.3014701
spline_displacement,0.30002263
vedic_surya_full_degree,0.2942717
vedic_chandra_full_degree,0.29327437
vedic_chandra_right_ascension,0.29214525
mercury_ecliptic_lon_deg,0.2791849
vedic_shukra_speed_deg_per_day,0.2789212
vedic_shukra_full_degree,0.27704006
jupiter_ecliptic_lat_deg,0.27430728
vedic_rahu_padam,0.26813924
vedic_shani_padam,0.26657483
vedic_guru_padam,0.25533748
vedic_mangal_padam,0.24826513
vedic_varun_right_ascension,0.2440233
vedic_shukra_declination,0.24358408
vedic_budha_declination,0.24162328
vedic_mangal_declination,0.23879436
mars_dec_deg,0.23410857
saturn_ecliptic_lon_deg,0.22457322
vedic_spashth_rahu_speed_deg_per_day,0.21470608
vedic_mangal_full_degree,0.20000681
vedic_budha_right_ascension,0.19708219
vedic_spashth_rahu_full_degree,0.1950009
sun_ecliptic_lon_deg,0.19318552
vedic_shani_speed_deg_per_day,0.19079013
vedic_yam_full_degree,0.18546957
vedic_budha_padam,0.18500943
moon_ecliptic_lon_deg,0.18025486
venus_ecliptic_lon_deg,0.17938974
vedic_spashth_ketu_declination,0.17908867
moon_dec_deg,0.17728065
venus_ra_hours,0.1760449
vedic_spashth_rahu_padam,0.17353842
sun_ra_hours,0.17333917
saturn_dec_deg,0.17278676
vedic_arun_padam,0.17140386
neptune_dec_deg,0.1694488
neptune_ecliptic_lat_deg,0.16548155
vedic_shukra_padam,0.15521629
moon_ra_hours,0.15452434
vedic_chandra_declination,0.15313119
vedic_mangal_speed_deg_per_day,0.14483173
mercury_ra_hours,0.14357229
vedic_rahu_right_ascension,0.14155315
saturn_ra_hours,0.13973287
vedic_varun_padam,0.13868967
jupiter_ecliptic_lon_deg,0.13505134
vedic_rahu_declination,0.13368006
day_of_week,0.13006927
neptune_ra_hours,0.1257064
vedic_spashth_rahu_right_ascension,0.124835394
mars_ra_hours,0.12320465
vedic_surya_speed_deg_per_day,0.12299577
vedic_yam_speed_deg_per_day,0.11803299
vedic_ketu_declination,0.11580361
saturn_ecliptic_lat_deg,0.10558516
vedic_mangal_right_ascension,0.09932884
uranus_ra_hours,0.08765729
vedic_shukra_right_ascension,0.08601939
vedic_guru_right_ascension,0.083495736
mars_cos_az,0.08322411
uranus_cos_az,0.07940429
vedic_varun_full_degree,0.0739529
vedic_spashth_rahu_declination,0.07138991
mars_cos_alt,0.07104991
saturn_sin_az,0.06521406
uranus_ecliptic_lat_deg,0.06470065
vedic_arun_right_ascension,0.064577974
