feature_1,feature_2,mean_interaction
latitude,spline_bearing_deg,0.8220351
latitude,spline_end_lon,0.5600984
longitude,spline_end_lon,0.5513606
longitude,latitude,0.53385425
latitude,ratrimana_minutes,0.3631189
latitude,vedic_varun_speed_deg_per_day,0.28156656
latitude,vedic_arun_speed_deg_per_day,0.25724125
latitude,sun_dec_deg,0.25663507
latitude,vedic_budha_full_degree,0.24142754
sun_dec_deg,mercury_dec_deg,0.23735593
latitude,vedic_guru_full_degree,0.2361178
vedic_budha_full_degree,dinamana_minutes,0.22170669
latitude,dinamana_minutes,0.21741499
latitude,vedic_chandra_right_ascension,0.20670487
sun_dec_deg,vedic_arun_speed_deg_per_day,0.18560825
longitude,mercury_dec_deg,0.18254635
year,sun_dec_deg,0.1822488
latitude,mercury_ecliptic_lat_deg,0.17170238
longitude,vedic_budha_speed_deg_per_day,0.1706652
latitude,mars_ecliptic_lat_deg,0.1703329
spline_end_lon,mars_ecliptic_lat_deg,0.15891819
latitude,mercury_dec_deg,0.15710914
dinamana_minutes,ratrimana_minutes,0.1529361
vedic_ketu_declination,vedic_spashth_ketu_declination,0.1524799
latitude,nearest_lat,0.1516591
spline_bearing_deg,vedic_budha_full_degree,0.14850247
spline_displacement,dinamana_minutes,0.14794348
sun_dec_deg,vedic_budha_right_ascension,0.1444409
longitude,spline_bearing_deg,0.14058983
spline_end_lon,elevation,0.13914949
longitude,spline_curvature,0.13700421
latitude,vedic_chandra_speed_deg_per_day,0.13691202
latitude,venus_ecliptic_lat_deg,0.13670334
spline_bearing_deg,nearest_lat,0.1353531
longitude,vedic_guru_full_degree,0.13530897
spline_bearing_deg,vedic_guru_full_degree,0.13316433
longitude,vedic_chandra_speed_deg_per_day,0.13192496
longitude,ratrimana_minutes,0.13160855
longitude,venus_ecliptic_lat_deg,0.13077573
spline_end_lon,nearest_lat,0.13030368
moon_ecliptic_lat_deg,vedic_guru_speed_deg_per_day,0.1296163
latitude,vedic_spashth_rahu_padam,0.12797667
spline_bearing_deg,vedic_arun_speed_deg_per_day,0.12747249
spline_end_lon,spline_bearing_deg,0.12517138
vedic_rahu_declination,vedic_spashth_ketu_declination,0.124777384
sun_ecliptic_lon_deg,mercury_dec_deg,0.12402139
vedic_surya_padam,vedic_yam_right_ascension,0.12247392
spline_end_lon,vedic_chandra_speed_deg_per_day,0.12242652
saturn_ecliptic_lon_deg,vedic_arun_full_degree,0.12221242
sun_dec_deg,dinamana_minutes,0.120231256
