,shap_importance,lime_importance,mean_rank
latitude,1.0,1.0,1.0
longitude,0.5726104882216292,0.5056732860914986,2.5
spline_end_lon,0.5317292942576841,0.6695232095493217,2.5
spline_bearing_deg,0.38511034423176604,0.18423082535080887,5.0
dinamana_minutes,0.21893694683894252,0.20273701043158773,5.5
vedic_budha_full_degree,0.1598263602242402,0.18800207929461102,8.0
vedic_guru_full_degree,0.15235575575479485,0.16543116859389795,11.0
nearest_lat,0.1291125424770096,0.16628720708261568,12.5
sun_dec_deg,0.2636354320655826,0.13005446136090829,13.5
vedic_arun_speed_deg_per_day,0.12648587939409064,0.15762325036500788,14.5
ratrimana_minutes,0.13109787470962042,0.14851968449785158,16.0
mercury_dec_deg,0.1470856691688905,0.1308213362088452,17.5
vedic_guru_declination,0.0769418376946263,0.14685253460653988,24.0
venus_dec_deg,0.07392190469790925,0.15408257029255426,25.0
neptune_ecliptic_lon_deg,0.07896411292644998,0.12736399851895133,26.5
vedic_budha_speed_deg_per_day,0.09157516990803846,0.1224723530498795,27.0
elevation,0.16269065937757982,0.10627700720165331,28.0
vedic_shukra_full_degree,0.0664849338606562,0.15565080785842603,29.0
vedic_arun_full_degree,0.07882751934263828,0.1151035399379102,31.5
spline_length_deg,0.07515127815001824,0.12095795668546962,32.5
vedic_surya_padam,0.1127381760324073,0.10519870037978059,34.0
vedic_chandra_right_ascension,0.070109924261332,0.12421136584410256,35.5
mars_ecliptic_lat_deg,0.15705416898650332,0.09305103047921957,38.0
mercury_ecliptic_lat_deg,0.19539978785493498,0.09022167712023334,38.5
vedic_budha_right_ascension,0.04729639593372626,0.13571652701098186,39.5
spline_point_count,0.10972243554053793,0.09379039027486884,40.5
vedic_mangal_padam,0.05957943680764873,0.11862407596131176,41.0
vedic_spashth_rahu_speed_deg_per_day,0.05152583178144258,0.12820832779346308,41.0
venus_ecliptic_lat_deg,0.14947671683913452,0.08969296444453274,41.5
venus_ra_hours,0.04224780175475646,0.13589846797071806,44.0
vedic_chandra_speed_deg_per_day,0.20006090771209706,0.08436183607221305,44.0
vedic_chandra_declination,0.03674889847754718,0.15680530889161606,45.0
vedic_shani_declination,0.07234773071975732,0.10108566029282749,45.5
spline_displacement,0.07200036237448883,0.1009483932083425,46.5
mercury_ecliptic_lon_deg,0.06699965922399062,0.10274804946371217,47.0
jupiter_dec_deg,0.07740008543398544,0.09304549482438974,48.0
vedic_shukra_declination,0.05845606389310192,0.10740151399766205,48.0
jupiter_ra_hours,0.07370393284312785,0.09323472873604409,49.0
vedic_rahu_padam,0.06434888743832433,0.0993950132451209,51.0
vedic_spashth_ketu_declination,0.042978255130838784,0.11278663126247562,52.5
vedic_shukra_speed_deg_per_day,0.06693637567915217,0.09315503910439153,53.5
vedic_guru_speed_deg_per_day,0.07669696853341525,0.08524916123593955,55.5
mars_dec_deg,0.05618210158004876,0.09807624605706702,56.0
neptune_ecliptic_lat_deg,0.03971277622055407,0.11039353277521488,57.5
vedic_yam_declination,0.08255880306026456,0.07669908642222159,61.5
vedic_rahu_right_ascension,0.03397036448634016,0.10744667245729025,62.0
moon_ecliptic_lon_deg,0.043258121028279604,0.09333998991910933,63.0
saturn_dec_deg,0.04146590320041469,0.0993038225773421,64.0
vedic_varun_speed_deg_per_day,0.10931535939869831,0.07411874084913303,64.5
moon_dec_deg,0.04254436087699426,0.09307178302191052,66.0
neptune_azimuth_deg,0.010460144325839459,0.15455243061415094,66.5
moon_ra_hours,0.037083230940541785,0.095575753279953,68.0
vedic_surya_right_ascension,0.010756821279781902,0.13075040782665603,69.0
vedic_budha_padam,0.04439913750071994,0.08549747896599776,70.5
vedic_chandra_full_degree,0.07038089398506345,0.07588734566488296,70.5
jupiter_sin_az,0.01349291905849828,0.11586344678950236,71.0
vedic_shani_speed_deg_per_day,0.04578640783688828,0.08460753289644501,71.0
vedic_yam_right_ascension,0.08238442413654078,0.07027370849545984,72.0
moon_ecliptic_lat_deg,0.1436798049417321,0.06684362380298871,72.5
vedic_arun_padam,0.04113403056424827,0.08717637069145072,73.0
vedic_arun_right_ascension,0.01549762272735999,0.11014024537941508,73.0
year,0.07292608280377061,0.07400420091830646,73.0
vedic_ketu_padam,0.01275505692399255,0.11174779826372488,74.0
mars_cos_az,0.01997238034442375,0.10173862758699871,75.0
nearest_lon,0.11385827317756829,0.06674826133341372,75.5
vedic_spashth_rahu_padam,0.04164628890126135,0.08218838483274409,78.0
spline_curvature,0.24585311594063775,0.059021011052173694,78.0
vedic_rahu_declination,0.03208095590070458,0.08876093589865756,78.5
uranus_altitude_deg,0.011237693666365886,0.10738370358291109,79.0
uranus_azimuth_deg,0.01217112571274982,0.10507980870141123,79.5
vedic_shani_padam,0.063973455468735,0.07234962039040897,79.5
neptune_dec_deg,0.0406648491946167,0.08236696117381231,79.5
vedic_ketu_declination,0.027790909919941632,0.09124788212502631,80.0
vedic_spashth_ketu_full_degree,0.005522257713057,0.13972487803063716,80.5
neptune_cos_az,0.0066026818112004905,0.1259342482095665,80.5
mercury_altitude_deg,0.00587626207115019,0.12885239630084172,81.0
moon_azimuth_deg,0.0033291176301188394,0.16589044127941938,81.0
vedic_surya_full_degree,0.07062023633536199,0.06706529565461643,84.0
vedic_budha_declination,0.057985505020446554,0.0714708395489118,84.0
mercury_ra_hours,0.03445492397335227,0.08130637081807147,84.0
saturn_ecliptic_lat_deg,0.025338654558719063,0.08247149306487739,88.5
vedic_shukra_right_ascension,0.020643200318697562,0.08403488768147241,89.0
saturn_ecliptic_lon_deg,0.053893778677981063,0.0697431196585431,89.5
sun_altitude_deg,0.009457319964674487,0.09634363526589128,90.0
sun_ecliptic_lon_deg,0.0463612609672279,0.0700962848981628,90.5
vedic_mangal_full_degree,0.04799825532282527,0.06901085348569416,91.0
vedic_shani_right_ascension,0.01138477211204331,0.08879297151664683,91.5
vedic_spashth_rahu_right_ascension,0.029958385489661524,0.07672530355960762,92.5
vedic_mangal_speed_deg_per_day,0.034757168295352005,0.07428936034935636,92.5
vedic_rahu_full_degree,0.07687854935012574,0.0574110706873147,93.5
vedic_arun_declination,0.013629569278322805,0.08319930208518787,95.0
vedic_mangal_declination,0.057306612014514174,0.0649071214501719,95.5
vedic_yam_speed_deg_per_day,0.028325923454988768,0.07576015978569396,96.0
moon_altitude_deg,0.0021385852036016665,0.11638980546920459,96.0
vedic_varun_right_ascension,0.058561469272563206,0.05995665996485489,99.0
moon_cos_alt,0.007120544233685948,0.0929228050991471,99.5
mars_sin_az,0.001380281692168871,0.11324624281376564,99.5
saturn_azimuth_deg,0.0013726514533376848,0.114677222938156,99.5
vedic_surya_declination,0.07785433985447424,0.0472293759052471,100.0
vedic_spashth_rahu_declination,0.017132372280991418,0.07659582430326896,100.0
uranus_cos_az,0.019055688079559197,0.07506210316613347,101.0
saturn_ra_hours,0.03353352803962601,0.07008061542840378,101.5
vedic_spashth_ketu_speed_deg_per_day,0.0,0.12442708204567521,102.75
sun_cos_alt,0.007448701931384029,0.08480897318876146,104.5
day_of_year,0.107826305028126,0.0,104.5
uranus_ecliptic_lon_deg,0.00011294756129168506,0.10900526328380536,105.5
vedic_yam_full_degree,0.044509563326741795,0.05946629836513859,105.5
sun_ra_hours,0.04159847226755236,0.06143289347741481,107.0
jupiter_ecliptic_lat_deg,0.06582911283045673,0.04750585884538122,107.5
vedic_varun_padam,0.033283177664292424,0.0649862475724518,109.5
vedic_guru_padam,0.061276681321634954,0.04673081513239128,110.5
day_of_week,0.03121442730431777,0.06580056229554727,110.5
vedic_lagna_full_degree,0.004156388830226352,0.08696990318616524,111.5
venus_sin_alt,0.0,0.10685312650979498,111.75
sun_sin_az,0.011923323957993356,0.07169144391198437,112.5
saturn_cos_alt,0.006059215831205482,0.08017327524475744,113.0
jupiter_sin_alt,0.0,0.10445084108383927,113.75
neptune_altitude_deg,0.0057779659511970356,0.08060799074711153,114.5
saturn_sin_az,0.015650272620807495,0.06859329216500382,115.0
vedic_guru_right_ascension,0.020037565995353925,0.06615538459030734,115.5
mercury_cos_alt,0.008188215629619675,0.0755020198219248,115.5
vedic_lagna_declination,0.002170338808147906,0.08703189923631278,115.5
venus_ecliptic_lon_deg,0.04305050684431815,0.04787205981698937,117.0
mercury_cos_az,0.005812094188569124,0.07673310610200315,117.5
venus_sin_az,0.008793620049148538,0.0734369649603324,117.5
vedic_shani_full_degree,0.010324882888244668,0.07119600679612229,118.0
venus_azimuth_deg,0.005258318294392075,0.08009726592922416,118.0
neptune_ra_hours,0.03016741221418012,0.0590348338659972,118.5
vedic_shukra_padam,0.037249287250177586,0.05370457363122621,120.5
vedic_spashth_rahu_full_degree,0.04679692149672662,0.0318043132386406,121.0
mars_ra_hours,0.02956703448077255,0.056604656131201456,123.5
neptune_sin_az,0.009385602453587267,0.06891389882912737,124.0
venus_cos_alt,0.008522651045366406,0.06991867899235339,124.5
venus_altitude_deg,0.007234689077888916,0.07021117701216759,125.0
mars_cos_alt,0.01705077802522702,0.05922850537273711,125.5
jupiter_azimuth_deg,0.010817881621133871,0.0645575741685971,126.5
vedic_yam_padam,0.0008997223875439168,0.0815128280799724,126.5
vedic_mangal_right_ascension,0.02383724345806055,0.05612844848907164,126.5
mercury_sin_az,0.0021665408355251788,0.07829144812978221,126.5
neptune_sin_alt,0.0,0.0860582376216578,126.75
uranus_cos_alt,0.0021311267686754854,0.07869000962328178,127.0
vedic_spashth_ketu_right_ascension,0.003680884145756138,0.07505242432116123,127.0
uranus_ecliptic_lat_deg,0.015527062894772205,0.05828523688296451,128.0
